gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4421328607	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	Melgershäuser Feldflur, mit angrenzendem Wald		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	51.141582	9.497343	250.0						2023-08-30T00:00	30	8	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	907477917				CC_BY_4_0		721850313			2024-03-15T23:20:09.033Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
4409339834	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/280985656	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	KS Kassel (Landkreis)	Hessen	PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.471674	9.401159	5.0						2023-07-17	17	7	2023	2433875	2433875	HUMAN_OBSERVATION		Observations	OBS.280985656				CC_BY_NC_4_0	Stichting Observation International	User 686549			2024-06-18T20:29:10.369Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4408782084	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/279411795	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	DAN Lüchow-Dannenberg (Landkreis)	Niedersachsen	PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	52.921589	11.31134	57.0						2023-07-07	7	7	2023	2433875	2433875	HUMAN_OBSERVATION		Observations	OBS.279411795				CC_BY_NC_4_0	Stichting Observation International	User 578552			2024-06-18T20:29:10.817Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4408442597	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/279495823	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	GÖ Göttingen (Landkreis)	Niedersachsen	PRESENT	1	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	51.54509	9.680843	60.0						2023-07-07	7	7	2023	2433875	2433875	HUMAN_OBSERVATION		Observations	OBS.279495823				CC_BY_NC_4_0	Stichting Observation International	User 793394			2024-06-18T20:41:51.998Z	StillImage	COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4408042003	8a863029-f435-446a-821e-275f4f641165	https://observation.org/observation/279047408	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	Elbufer-Drawehn NP	Niedersachsen	PRESENT	2	c8d737e0-2ff8-42e8-b8fc-6b805d26fc5f	53.041323	11.427884							2023-07-03	3	7	2023	2433875	2433875	HUMAN_OBSERVATION		Observations	OBS.279047408				CC_BY_NC_4_0	Stichting Observation International	User 19301			2024-06-18T20:29:13.195Z		COORDINATE_ROUNDED;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT
4176734362	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	TK25 Blatt 5135/1 - Saale / Bucha b. Jena		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	50.858753	11.664211	25.0						2023-06-19T00:00	19	6	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	1482084597				CC_BY_4_0		2029871466			2024-03-15T23:21:56.619Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
4176627226	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	TK25 Blatt 2647/1 - Meck. Seenplatte / Wrechen		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	53.381531	13.533128	25.0						2023-03-05T00:00	5	3	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	-1692336129				CC_BY_4_0		-1968907958			2024-03-15T23:28:25.613Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
4176609458	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	Melgershäuser Feldflur, mit angrenzendem Wald		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	51.141582	9.497343	250.0						2023-05-22T00:00	22	5	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	1599272732				CC_BY_4_0		721850313			2024-03-15T23:22:15.705Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
4176589878	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	TK25 Blatt 3651/1 - Demnitz / Falkenberg		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	52.373619	14.206471	250.0						2023-02-08T00:00	8	2	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	-1481711563				CC_BY_4_0		2140943512			2024-03-15T23:28:01.355Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
4176581688	6ac3f774-d9fb-4796-b3e9-92bf6c81c084		Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles		SPECIES	Meles meles (Linnaeus, 1758)	Meles meles		DE	Kühlbachschlucht		PRESENT		bb646dff-a905-4403-a49b-6d378c2cf0d9	51.568054	11.77803	250.0						2023-02-27T00:00	27	2	2023	2433875	2433875	HUMAN_OBSERVATION	naturgucker	naturgucker	-304426967				CC_BY_4_0		-899264595			2024-03-15T23:25:34.195Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;MULTIMEDIA_URI_INVALID
